Frequency [Hz], Amplitude [dB], Phase [deg]
1000, -45.952274, 88.460381
1183.6734693877552, -45.854218, 88.737114
1367.3469387755101, -45.562885, 88.641388
1551.0204081632653, -45.335014, 88.93763
1734.6938775510203, -45.046169, 88.576614
1918.3673469387754, -44.76199, 88.769936
2102.0408163265306, -44.378609, 88.730713
2285.7142857142853, -43.976788, 88.703033
2469.3877551020405, -43.434986, 87.962814
2653.0612244897957, -42.836807, 87.204689
2836.734693877551, -42.141636, 87.503799
3020.408163265306, -41.4338, 87.750404
3204.081632653061, -40.621407, 87.812119
3387.7551020408164, -39.710438, 87.887093
3571.428571428571, -38.582085, 87.531372
3755.1020408163263, -37.245541, 87.254585
3938.7755102040815, -35.793152, 86.973602
4122.448979591836, -33.972481, 86.284698
4306.122448979591, -31.806252, 85.506866
4489.7959183673465, -29.045197, 83.956261
4673.469387755102, -25.353344, 81.000404
4857.142857142857, -19.743225, 73.672913
5040.816326530612, -9.29845, 33.672001
5224.489795918367, -14.436849, -59.456219
5408.163265306122, -21.869173, -75.521919
5591.836734693878, -26.117979, -80.210762
5775.510204081633, -29.034208, -82.425758
5959.183673469387, -31.21542, -83.65361
6142.857142857142, -32.934811, -84.40609
6326.530612244897, -34.350784, -84.863312
6510.204081632653, -35.505947, -85.268227
6693.877551020408, -36.468948, -85.49395
6877.551020408163, -37.302475, -85.742889
7061.224489795918, -38.083523, -85.616936
7244.897959183673, -38.75861, -85.816338
7428.571428571428, -39.310467, -85.76506
7612.244897959184, -39.801346, -85.703529
7795.918367346939, -40.264374, -85.664406
7979.591836734693, -40.641754, -85.806
8163.265306122448, -40.995918, -85.947487
8346.938775510203, -41.291046, -86.126793
8530.612244897959, -41.582291, -85.922356
8714.285714285714, -41.902332, -85.918343
8897.959183673469, -42.165958, -85.987053
9081.632653061224, -42.30621, -86.018997
9265.30612244898, -42.584538, -85.922966
9448.979591836734, -42.809673, -85.698898
9632.65306122449, -43.031116, -85.301964
9816.326530612245, -43.166965, -84.870285
10000, -43.303589, -84.303055
