Frequency [Hz], Amplitude [dB], Phase [deg]
1000, -45.8992, 88.811859
1375, -45.56459, 88.523941
1750, -45.089989, 88.453735
2125, -44.26313, 88.674004
2500, -43.328541, 87.754097
2875, -42.017998, 87.649345
3250, -40.395088, 87.891365
3625, -38.21101, 87.47699
4000, -35.205578, 86.941315
4375, -30.839258, 85.03743
4750, -23.304167, 78.95591
5125, -8.565845, -24.673721
5500, -24.211292, -78.351631
5875, -30.286112, -83.062637
6250, -33.740559, -84.787514
6625, -36.100819, -85.269394
7000, -37.806973, -85.700455
7375, -39.129761, -85.591591
7750, -40.111782, -85.675056
8125, -40.907372, -85.93911
8500, -41.540577, -85.758354
8875, -42.030663, -85.809959
9250, -42.488129, -85.869789
9625, -43.0065, -85.460182
10000, -43.246429, -84.076286
