TIME ms, IN2
5, 0.004799
4.99, -0.002525
4.98, -0.011314
4.971, -0.021568
4.961, -0.032066
4.951, -0.042809
4.941, -0.059898
4.932, -0.06527
4.922, -0.068443
4.912, -0.068932
4.902, -0.06649
4.893, -0.054039
4.883, -0.045006
4.873, -0.034508
4.863, -0.023766
4.854, -0.013512
4.844, 0.003578
4.834, 0.009193
4.824, 0.012611
4.814, 0.012855
4.805, 0.010414
4.795, -0.001549
4.785, -0.010826
4.775, -0.020836
4.766, -0.031334
4.756, -0.041832
4.746, -0.051354
4.736, -0.065025
4.727, -0.068199
4.717, -0.068932
4.707, -0.06649
4.697, -0.061607
4.688, -0.045738
4.678, -0.035484
4.668, -0.024742
4.658, -0.014244
4.648, -0.004967
4.639, 0.008949
4.629, 0.012611
4.619, 0.0131
4.609, 0.010902
4.6, 0.00602
4.59, -0.00985
4.58, -0.019859
4.57, -0.030357
4.561, -0.040855
4.551, -0.050621
4.541, -0.064293
4.531, -0.067955
4.521, -0.068932
4.512, -0.066734
4.502, -0.062096
4.492, -0.05526
4.482, -0.036217
4.473, -0.025475
4.463, -0.014732
4.453, -0.005699
4.443, 0.002357
4.434, 0.012367
4.424, 0.0131
4.414, 0.011146
4.404, 0.006508
4.395, -0.000328
4.385, -0.019127
4.375, -0.029625
4.365, -0.040123
4.355, -0.049889
4.346, -0.058189
4.336, -0.067711
4.326, -0.068932
4.316, -0.066979
4.307, -0.06234
4.297, -0.055748
4.287, -0.037193
4.277, -0.026451
4.268, -0.015709
4.258, -0.006432
4.248, 0.002113
4.238, 0.007973
4.229, 0.0131
4.219, 0.011146
4.209, 0.006752
4.199, -0.000084
4.189, -0.008385
4.18, -0.028648
4.17, -0.039391
4.16, -0.049156
4.15, -0.057701
4.141, -0.063805
4.131, -0.068932
4.121, -0.067223
4.111, -0.062828
4.102, -0.05648
4.092, -0.047936
4.082, -0.027184
4.072, -0.016441
4.063, -0.007164
4.053, 0.001381
4.043, 0.007729
4.033, 0.0131
4.023, 0.011391
4.014, 0.00724
4.004, 0.000648
3.994, -0.007896
3.984, -0.017662
3.975, -0.038658
3.965, -0.048668
3.955, -0.056969
3.945, -0.063072
3.936, -0.067223
3.926, -0.067711
3.916, -0.063561
3.906, -0.056969
3.896, -0.048912
3.887, -0.038902
3.877, -0.017174
3.867, -0.007652
3.857, 0.000893
3.848, 0.00724
3.838, 0.011635
3.828, 0.011635
3.818, 0.007729
3.809, 0.001625
3.799, -0.00692
3.789, -0.016441
3.779, -0.037926
3.77, -0.04818
3.76, -0.056969
3.75, -0.063316
3.74, -0.067711
3.73, -0.069664
3.721, -0.064293
3.711, -0.057945
3.701, -0.049889
3.691, -0.039879
3.682, -0.028893
3.672, -0.008141
3.662, 0.000893
3.652, 0.007973
3.643, 0.012855
3.633, 0.015053
3.623, 0.009926
3.613, 0.003334
3.604, -0.005211
3.594, -0.015221
3.584, -0.026207
3.574, -0.048668
3.564, -0.057945
3.555, -0.065025
3.545, -0.069908
3.535, -0.072105
3.525, -0.066734
3.516, -0.060143
3.506, -0.051598
3.496, -0.041344
3.486, -0.029625
3.477, -0.01815
3.467, 0.001625
3.457, 0.008949
3.447, 0.014076
3.438, 0.015785
3.428, 0.014809
3.418, 0.004799
3.408, -0.00399
3.398, -0.014244
3.389, -0.025719
3.379, -0.037193
3.369, -0.057457
3.359, -0.064781
3.35, -0.070152
3.34, -0.07235
3.33, -0.071373
3.32, -0.061119
3.311, -0.052574
3.301, -0.04232
3.291, -0.030846
3.281, -0.019127
3.271, 0.001381
3.262, 0.009193
3.252, 0.014564
3.242, 0.016518
3.232, 0.015541
3.223, 0.012123
3.213, -0.003014
3.203, -0.013268
3.193, -0.024498
3.184, -0.036217
3.174, -0.047447
3.164, -0.06527
3.154, -0.070641
3.145, -0.073082
3.135, -0.07235
3.125, -0.068687
3.115, -0.053795
3.105, -0.043297
3.096, -0.031578
3.086, -0.019615
3.076, -0.008873
3.066, 0.009437
3.057, 0.015053
3.047, 0.01725
3.037, 0.016762
3.027, 0.013344
3.018, 0.006996
3.008, -0.012047
2.998, -0.023521
2.988, -0.035484
2.979, -0.046959
2.969, -0.057457
2.959, -0.071373
2.949, -0.074059
2.939, -0.074059
2.93, -0.070396
2.92, -0.064293
2.91, -0.044762
2.9, -0.032799
2.891, -0.020348
2.881, -0.009117
2.871, 0.001625
2.861, 0.016029
2.852, 0.018471
2.842, 0.018227
2.832, 0.015053
2.822, 0.008705
2.813, -0.010582
2.803, -0.022301
2.793, -0.034752
2.783, -0.046959
2.773, -0.057701
2.764, -0.066246
2.754, -0.075523
2.744, -0.075279
2.734, -0.071861
2.725, -0.06527
2.715, -0.05648
2.705, -0.033531
2.695, -0.02108
2.686, -0.009361
2.676, 0.001381
2.666, 0.01017
2.656, 0.019203
2.646, 0.019203
2.637, 0.015785
2.627, 0.009682
2.617, 0.000893
2.607, -0.021813
2.598, -0.034264
2.588, -0.046227
2.578, -0.057213
2.568, -0.066002
2.559, -0.076744
2.549, -0.077477
2.539, -0.075035
2.529, -0.069908
2.52, -0.061852
2.51, -0.051354
2.5, -0.025719
2.49, -0.012047
2.48, 0.001137
2.471, 0.0131
2.461, 0.022621
2.451, 0.031166
2.441, 0.030189
2.432, 0.025062
2.422, 0.016273
2.412, 0.003822
2.402, -0.028404
2.393, -0.045738
2.383, -0.06234
2.373, -0.077232
2.363, -0.089195
2.354, -0.10067
2.344, -0.098473
2.334, -0.091881
2.324, -0.081139
2.314, -0.066734
2.305, -0.028893
2.295, -0.008629
2.285, 0.011879
2.275, 0.030189
2.266, 0.044105
2.256, 0.054359
2.246, 0.056313
2.236, 0.048744
2.227, 0.035316
2.217, 0.017738
2.207, -0.003746
2.197, -0.051109
2.188, -0.074059
2.178, -0.094566
2.168, -0.110924
2.158, -0.12191
2.148, -0.126061
2.139, -0.11776
2.129, -0.103844
2.119, -0.08358
2.109, -0.058922
2.1, -0.003258
2.09, 0.024086
2.08, 0.048256
2.07, 0.067543
2.061, 0.080971
2.051, 0.085365
2.041, 0.075844
2.031, 0.058998
2.021, 0.036049
2.012, 0.008217
2.002, -0.022545
1.992, -0.084801
1.982, -0.1119
1.973, -0.134361
1.963, -0.149498
1.953, -0.156822
1.943, -0.144859
1.934, -0.126549
1.924, -0.101158
1.914, -0.070152
1.904, -0.035729
1.895, 0.034096
1.885, 0.065102
1.875, 0.090004
1.865, 0.107826
1.855, 0.116371
1.846, 0.104164
1.836, 0.0839
1.826, 0.055824
1.816, 0.021156
1.807, -0.01693
1.797, -0.095543
1.787, -0.130211
1.777, -0.15902
1.768, -0.179283
1.758, -0.189293
1.748, -0.188805
1.738, -0.154869
1.729, -0.123863
1.719, -0.085533
1.709, -0.042564
1.699, 0.001869
1.689, 0.084877
1.68, 0.117348
1.67, 0.140785
1.66, 0.152748
1.65, 0.152748
1.641, 0.116127
1.631, 0.081703
1.621, 0.039223
1.611, -0.008629
1.602, -0.058434
1.592, -0.151939
1.582, -0.189049
1.572, -0.21566
1.563, -0.22982
1.553, -0.230797
1.543, -0.19149
1.533, -0.153648
1.523, -0.106285
1.514, -0.053062
1.504, 0.002846
1.494, 0.058266
1.484, 0.150795
1.475, 0.181068
1.465, 0.197914
1.455, 0.199867
1.445, 0.185951
1.436, 0.115639
1.426, 0.063148
1.416, 0.003578
1.406, -0.058922
1.396, -0.120934
1.387, -0.225426
1.377, -0.260094
1.367, -0.279869
1.357, -0.282799
1.348, -0.268639
1.338, -0.191979
1.328, -0.134117
1.318, -0.06942
1.309, -0.001305
1.299, 0.068764
1.289, 0.136391
1.279, 0.237709
1.27, 0.263832
1.26, 0.27018
1.25, 0.256996
1.24, 0.223549
1.23, 0.107826
1.221, 0.030922
1.211, -0.051598
1.201, -0.138268
1.191, -0.220543
1.182, -0.34066
1.172, -0.370201
1.162, -0.376549
1.152, -0.359215
1.143, -0.320152
1.133, -0.186607
1.123, -0.101158
1.113, -0.008873
1.104, 0.089271
1.094, 0.184486
1.084, 0.328041
1.074, 0.36808
1.064, 0.381752
1.055, 0.366859
1.045, 0.326088
1.035, 0.261879
1.025, 0.0756
1.016, -0.036217
1.006, -0.154625
0.996, -0.268639
0.986, -0.365807
0.977, -0.484215
0.967, -0.498375
0.957, -0.480797
0.947, -0.432945
0.938, -0.358238
0.928, -0.149742
0.918, -0.029381
0.908, 0.097084
0.898, 0.225258
0.889, 0.337807
0.879, 0.482826
0.869, 0.504555
0.859, 0.490639
0.85, 0.441811
0.84, 0.361488
0.83, 0.131264
0.82, -0.010826
0.811, -0.160973
0.801, -0.306725
0.791, -0.432457
0.781, -0.529869
0.771, -0.617516
0.762, -0.602379
0.752, -0.548912
0.742, -0.460533
0.732, -0.34359
0.723, -0.053062
0.713, 0.103676
0.703, 0.256752
0.693, 0.393471
0.684, 0.503822
0.674, 0.612221
0.664, 0.602211
0.654, 0.549965
0.645, 0.459877
0.635, 0.335609
0.625, 0.021645
0.615, -0.149742
0.605, -0.322594
0.596, -0.475182
0.586, -0.596031
0.576, -0.716393
0.566, -0.707604
0.557, -0.652916
0.547, -0.556725
0.537, -0.426354
0.527, -0.269615
0.518, 0.081947
